[INF] 2022-11-09 20:13:34	 trying on 192.168.1.123:3100
[OK ] 2022-11-09 20:13:34	 connected on 192.168.1.123:3100
[INF] 2022-11-09 20:13:36	 The master is 192.168.1.123:3100
[INF] 2022-11-09 20:13:40	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-09 20:13:44	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-09 20:13:48	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-09 20:14:01	 trying on 192.168.1.123:3100
[OK ] 2022-11-09 20:14:01	 connected on 192.168.1.123:3100
[INF] 2022-11-09 20:14:03	 The master is 192.168.1.123:3100
[INF] 2022-11-09 20:14:07	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-09 20:14:11	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-09 20:15:24	 trying on 192.168.1.123:3100
[OK ] 2022-11-09 20:15:24	 connected on 192.168.1.123:3100
[INF] 2022-11-09 20:15:26	 The master is 192.168.1.123:3100
[INF] 2022-11-09 20:15:30	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-09 20:15:34	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-10 21:04:41	 trying on 192.168.1.123:3100
[OK ] 2022-11-10 21:04:41	 connected on 192.168.1.123:3100
[INF] 2022-11-10 21:04:42	 trying on 192.168.1.123:3100
[INF] 2022-11-10 21:04:43	 trying on 192.168.1.123:3101
[OK ] 2022-11-10 21:04:43	 connected on 192.168.1.123:3101
[INF] 2022-11-10 21:04:43	 The master is 192.168.1.123:3100
[INF] 2022-11-10 21:04:47	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-10 21:04:51	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-10 21:04:54	 TRYING TO CONNECT TO http://192.168.1.123:3100
[OK ] 2022-11-10 21:04:54	 192.168.1.123:3101 has connected
[INF] 2022-11-10 21:04:54	 The master is 192.168.1.123:3100
[INF] 2022-11-10 21:04:55	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:04:55	 SENDING MAP TO FIRST JOINER
[INF] 2022-11-10 21:04:55	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:04:55	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3101
[OK ] 2022-11-10 21:04:55	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:04:55	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:04:59	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:04:59	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:04:59	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
